"죄종별","범죄발생지별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"강력범죄","계","범죄건수","건","26699","25152","26962","25277","25334","25765","27274","26787","26476","24332",
"강력범죄","서울","범죄건수","건","6878","6033","6272","6268","6215","6683","7474","6974","6977","6246",
"강력범죄","부산","범죄건수","건","2110","1836","2203","1860","1774","1630","1936","1712","1716","1593",
"강력범죄","대구","범죄건수","건","1106","1196","1372","1154","1084","1028","999","1130","1095","917",
"강력범죄","인천","범죄건수","건","1696","1522","1542","1478","1542","1817","1880","1743","1749","1524",
"강력범죄","광주","범죄건수","건","952","1059","978","953","860","796","803","792","753","629",
"강력범죄","대전","범죄건수","건","808","711","809","725","698","724","799","848","802","732",
"강력범죄","울산","범죄건수","건","542","471","550","534","532","523","485","496","516","502",
"강력범죄","세종","범죄건수","건","","","","","46","58","84","106","68","91",
"강력범죄","고양시","범죄건수","건","429","393","441","332","416","382","391","400","381","341",
"강력범죄","과천시","범죄건수","건","","","","","23","25","29","21","20","19",
"강력범죄","광명시","범죄건수","건","104","128","112","125","103","143","116","144","137","119",
"강력범죄","광주시","범죄건수","건","","","","","101","104","116","103","102","87",
"강력범죄","구리시","범죄건수","건","121","102","91","103","117","136","136","109","118","87",
"강력범죄","군포시","범죄건수","건","115","142","106","105","109","96","119","89","92","99",
"강력범죄","김포시","범죄건수","건","","","","","140","134","129","124","134","143",
"강력범죄","남양주시","범죄건수","건","175","181","172","172","242","266","238","241","241","202",
"강력범죄","동두천시","범죄건수","건","","","","","46","53","47","62","65","62",
"강력범죄","부천시","범죄건수","건","585","520","511","438","498","530","478","460","497","469",
"강력범죄","성남시","범죄건수","건","524","459","457","492","497","525","461","487","436","415",
"강력범죄","수원시","범죄건수","건","709","677","703","629","717","654","672","637","629","620",
"강력범죄","시흥시","범죄건수","건","263","276","225","180","272","221","243","254","260","273",
"강력범죄","안산시","범죄건수","건","513","444","460","348","428","491","482","427","416","396",
"강력범죄","안성시","범죄건수","건","","","","","76","86","89","83","86","93",
"강력범죄","안양시","범죄건수","건","284","281","279","352","267","298","323","277","234","250",
"강력범죄","양주시","범죄건수","건","","","","","83","71","62","85","82","94",
"강력범죄","여주시","범죄건수","건","","","","","43","70","61","66","75","65",
"강력범죄","오산시","범죄건수","건","","","","","120","103","131","97","133","112",
"강력범죄","용인시","범죄건수","건","252","256","273","279","316","267","303","302","300","230",
"강력범죄","의왕시","범죄건수","건","","","","","44","36","38","42","36","37",
"강력범죄","의정부시","범죄건수","건","233","272","248","242","284","242","265","255","256","245",
"강력범죄","이천시","범죄건수","건","93","106","97","90","112","97","104","110","118","123",
"강력범죄","파주시","범죄건수","건","128","159","143","156","144","145","181","162","159","130",
"강력범죄","평택시","범죄건수","건","250","205","264","244","267","252","264","268","246","273",
"강력범죄","포천시","범죄건수","건","","","","","95","103","83","89","87","81",
"강력범죄","하남시","범죄건수","건","","","","","43","28","46","60","67","68",
"강력범죄","화성시","범죄건수","건","","","","","212","195","228","212","243","243",
"강력범죄","강릉시","범죄건수","건","114","105","142","128","108","107","112","138","121","131",
"강력범죄","동해시","범죄건수","건","","","","","45","47","49","46","39","41",
"강력범죄","삼척시","범죄건수","건","","","","","31","27","30","26","28","24",
"강력범죄","속초시","범죄건수","건","","","","","34","46","46","48","38","39",
"강력범죄","원주시","범죄건수","건","171","180","164","180","157","144","157","168","197","135",
"강력범죄","춘천시","범죄건수","건","98","115","120","127","115","129","126","107","118","109",
"강력범죄","태백시","범죄건수","건","","","","","14","18","21","20","31","24",
"강력범죄","제천시","범죄건수","건","72","60","60","84","58","63","64","76","69","60",
"강력범죄","청주시","범죄건수","건","384","360","366","399","396","370","446","432","418","389",
"강력범죄","충주시","범죄건수","건","93","97","96","76","87","114","114","94","90","93",
"강력범죄","계룡시","범죄건수","건","","","","","7","6","7","6","8","10",
"강력범죄","공주시","범죄건수","건","","","","","48","59","51","53","44","51",
"강력범죄","논산시","범죄건수","건","75","60","67","67","71","51","59","64","46","37",
"강력범죄","당진시","범죄건수","건","","","","","52","72","76","62","74","72",
"강력범죄","보령시","범죄건수","건","","","","","56","63","69","55","66","51",
"강력범죄","서산시","범죄건수","건","66","83","71","92","80","85","75","66","81","77",
"강력범죄","아산시","범죄건수","건","104","115","134","123","110","127","126","165","142","118",
"강력범죄","천안시","범죄건수","건","366","359","410","368","331","347","325","343","328","342",
"강력범죄","군산시","범죄건수","건","123","118","119","146","111","93","107","120","149","120",
"강력범죄","김제시","범죄건수","건","","","","","39","24","30","38","30","34",
"강력범죄","남원시","범죄건수","건","","","","","38","28","26","32","35","31",
"강력범죄","익산시","범죄건수","건","163","170","160","150","130","133","104","113","119","96",
"강력범죄","전주시","범죄건수","건","292","319","341","299","297","274","289","342","347","305",
"강력범죄","정읍시","범죄건수","건","36","50","54","66","49","44","43","36","49","44",
"강력범죄","광양시","범죄건수","건","","","","","43","59","53","74","61","59",
"강력범죄","나주시","범죄건수","건","","","","","12","12","42","44","57","46",
"강력범죄","목포시","범죄건수","건","159","133","178","154","146","165","146","165","182","138",
"강력범죄","순천시","범죄건수","건","158","137","126","115","132","122","136","142","135","114",
"강력범죄","여수시","범죄건수","건","80","143","159","112","122","106","127","130","101","143",
"강력범죄","경산시","범죄건수","건","123","119","224","106","102","100","96","125","123","115",
"강력범죄","경주시","범죄건수","건","125","140","163","142","112","108","105","99","111","109",
"강력범죄","구미시","범죄건수","건","225","187","216","147","169","141","193","159","176","149",
"강력범죄","김천시","범죄건수","건","46","47","48","40","50","40","55","60","57","48",
"강력범죄","문경시","범죄건수","건","","","","","24","23","23","30","37","24",
"강력범죄","상주시","범죄건수","건","","","","","28","30","35","38","44","35",
"강력범죄","안동시","범죄건수","건","87","82","82","62","77","65","68","62","64","69",
"강력범죄","영주시","범죄건수","건","","","","","53","25","20","31","40","43",
"강력범죄","영천시","범죄건수","건","","","","","33","32","34","35","53","36",
"강력범죄","포항시","범죄건수","건","210","173","180","172","184","192","217","196","191","193",
"강력범죄","거제시","범죄건수","건","106","109","102","111","107","114","124","136","95","110",
"강력범죄","김해시","범죄건수","건","204","204","228","164","198","188","202","196","182","172",
"강력범죄","마산시","범죄건수","건","201","19","","","1","","","","","",
"강력범죄","밀양시","범죄건수","건","","","","","41","31","28","47","42","41",
"강력범죄","사천시","범죄건수","건","","","","","53","42","48","39","37","42",
"강력범죄","양산시","범죄건수","건","78","115","100","108","117","128","128","112","111","127",
"강력범죄","진주시","범죄건수","건","150","118","145","169","155","127","155","139","125","148",
"강력범죄","창원시","범죄건수","건","280","426","476","382","357","357","399","374","413","386",
"강력범죄","통영시","범죄건수","건","","","","","58","50","48","260","58","66",
"강력범죄","서귀포시","범죄건수","건","","","","","65","128","92","110","118","103",
"강력범죄","제주시","범죄건수","건","336","348","498","398","331","365","352","322","358","347",
"살인기수","계","범죄건수","건","427","411","342","372","365","356","301","309","297","308",
"살인기수","서울","범죄건수","건","83","66","49","56","67","46","50","45","45","50",
"살인기수","부산","범죄건수","건","27","28","26","21","20","29","21","26","22","21",
"살인기수","대구","범죄건수","건","14","17","12","17","13","17","16","9","14","15",
"살인기수","인천","범죄건수","건","26","21","13","16","17","20","11","23","20","12",
"살인기수","광주","범죄건수","건","13","15","6","12","11","9","3","10","11","7",
"살인기수","대전","범죄건수","건","12","10","12","12","8","16","8","4","7","9",
"살인기수","울산","범죄건수","건","10","9","10","13","12","7","5","9","10","6",
"살인기수","세종","범죄건수","건","","","","","2","1","1","2","2","4",
